Page ID,Page name,Disclaimer,Amount spent (HNL)
114601521910,Jorge Aldana,Jorge  Aldana,809
703368406666619,Vox Populi HN,Vox Populi HN,571
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,120
109580408013707,Francisco Flores,Francisco Miguel Flores Guifarro,≤100
115975217754936,Programa de Gestión Comunitaria de Cuencas-nuestra cuenca Goascorán Fase II,Karen Emilia Moreno Carcamo,≤100
131862194331281,Chisme Digital,These ads ran without a disclaimer,≤100
101971945439065,"Psicología, Plenitud y Vida",These ads ran without a disclaimer,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
