Page ID,Page name,Disclaimer,Amount spent (HNL)
496839213786593,"Secretaría Nacional de Ciencia, Tecnología e Innovación",SENACIT,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,≤100
252299011476891,Biodiversidad en América Latina y El Caribe,These ads ran without a disclaimer,≤100
491553204198958,Revistazo.com,Revistazo.com,≤100
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100
138816232821931,PNUD en Honduras,PNUD (Programa de las Naciones Unidas  para el Desarrollo),≤100
104599735671754,Goberna Honduras,Goberna Honduras,≤100
856012741442139,Ipas LAC,Astrid Leticia Aguilar Pinell,≤100
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100
