Page ID,Page name,Disclaimer,Amount spent (AOA)
103535548573473,MS Comércio,MS Comércio,2564
250305668489402,Professor Kenny,These ads ran without a disclaimer,205
101782419564623,Carlos Paulo B.,These ads ran without a disclaimer,205
101179095098420,,These ads ran without a disclaimer,≤100
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100
102724382712988,contragolpecotidiano,These ads ran without a disclaimer,≤100
172630432773629,UCA News,These ads ran without a disclaimer,≤100
576690225840098,Contending Modernities,These ads ran without a disclaimer,≤100
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100
116229124772170,Dicas de Mulher,These ads ran without a disclaimer,≤100
