Page ID,Page name,Disclaimer,Amount spent (CRC)
123191400766960,Incubadora +Cr,+Costa Rica,1827
168286823190319,Cámara de Industrias de Costa Rica,Cámara de Industrias de Costa Rica,1087
101955851918321,Alcaldía de Alajuela,Alcaldía de Alajuela,398
1697191247176676,Diego Miranda Méndez,Diego Miranda Méndez,364
265843867173714,La Revista,La Revista,340
230541241034361,Pyme De Ventas Renato Pérez,These ads ran without a disclaimer,171
1599595763404823,Danny Vargas Diputado,Danny Vargas Diputado,≤100
105655721900130,Diputada Johana Obando,Diputada Johana Obando,≤100
102207552798601,Youth clicks,These ads ran without a disclaimer,≤100
103874242354782,Mayra Katarina Barck,These ads ran without a disclaimer,≤100
107116101003808,Soy AlexBro,These ads ran without a disclaimer,≤100
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,≤100
