Page ID,Page name,Disclaimer,Amount spent (AOA)
172263106300009,Eventos Arena,Eventos Arena,15233
102988331717955,Partido Humanista de Angola,Partido Humanista de Angola,1667
176104589110851,IEEE,These ads ran without a disclaimer,833
250305668489402,Professor Kenny,These ads ran without a disclaimer,351
1064304623746252,Rights Africa,These ads ran without a disclaimer,≤100
102407559822494,Training Centre in Communication (TCC Africa),These ads ran without a disclaimer,≤100
220898724599599,Ação da Cidadania,These ads ran without a disclaimer,≤100
112314738439063,Hon Elisha Matambo,These ads ran without a disclaimer,≤100
108532617697029,Bazin Balla Moussa et frère,These ads ran without a disclaimer,≤100
114574875003396,Administração Municipal do Ecunha,These ads ran without a disclaimer,≤100
107534098205064,CaezArts,These ads ran without a disclaimer,≤100
