Page ID,Page name,Disclaimer,Amount spent (TRY)
319026564921676,Vatan Partisi,Vatan Partisi,5908
141870402543282,AK Parti,Ak Parti,5893
102095934751904,Deva Partisi,Deva Partisi,4767
294889615437,Sinan Oğan,Sinan Oğan,2071
100910024639566,Ali Babacan,Deva Partisi,1378
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,1099
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,976
108252655310283,Ahmet ÇELEBİ - İYİ Parti İstanbul 1.Bölge Milletvekili Aday Adayı,Ahmet ÇELEBİ - İYİ Parti İstanbul 1.Bölge Milletvekili Aday Adayı,974
107621395263001,,Bilge Yılmaz,791
105416322506485,,Gülsüm Karaca,700
183754020921,Saadet Partisi,Saadet Partisi,679
100939478640264,Gazete Oksijen,Gazete Oksijen,661
118027934573584,,Ramazan Şerif Fırat,547
462963834529864,Levent Uysal,Levent Uysal,523
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,512
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),477
267864260550437,Kayalar Baskı,Kayalar Baskı,420
786713228034153,,Murat Karaman,388
123947730626722,,Murat Dal Tuzla İlçe Teşkilatı Aday Adayı,377
162643753879231,Deniz Köken,Deniz Köken,269
121031057562341,,Ilgın Buğrahan Aka,208
815048841929079,M. Ergün Turan,M. Ergün Turan,207
1230877970281928,Yusuf Ziya Öztabak,Yusuf Ziya Öztabak,186
106433519384639,Haber7,Haber7,159
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,140
326363220894548,Nail Çiler,Nail Çiler,138
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,116
106187277979172,Dijital Gaste,Veysel Karahan,116
109407151806354,İsmail İnlidere,Ismail Inlidere,115
108376020766134,Metin Bolat,Metin Bolat,113
123269077361453,,Berkan Hendek,111
141311632555208,Bağımsız Türkiye Partisi,Mehmet Erkul,106
111841058524860,Ahmet ŞAHİN,Rahmi Mete Ay,105
102841632670929,Türkiye Gönüllüleri,Türkiye Gönüllüleri,102
146234755411446,Mirasımız Derneği,(MİRASIMIZ) Kudüs ve Civarındaki Osmanlı Mirasını Koruma ve Yaşatma Derneği,≤100
498579987170393,العدسة  The Lens,thelenspost,≤100
112192125157541,Ercan Öztürk,Ercan Öztürk,≤100
101762502501680,,Komşu Kızı,≤100
102849951230691,المسار للدراسات الإنسانية,المسار للدراسات الإنسانية,≤100
1597613193844586,,Cumhurbaşkanı Kılıçdaroğlu,≤100
978420498967432,العربي 2,These ads ran without a disclaimer,≤100
2256740437921271,Uzundere Belediye Başkanı Hilmi Aktoprak,Hilmi Aktoprak,≤100
763690387049562,Vatan Partisi Antalya,Vatan Partisi Antalya İl Başkanlığı,≤100
106561381741274,Promosyon Kahve,GANİTTO GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ,≤100
212556146253726,,Allah Yolunda,≤100
103285814499773,Hikmet Yalım Halıcı,Hikmet Yalım Halıcı,≤100
225191551573689,Okşan Ulusoy Efe,Okşan Ulusoy Efe,≤100
118671501166940,,Serkan Aydındır,≤100
1212312508922126,Yaşasın Halkların Kardeşliği 01,Yaşasın Halkların Kardeşliği,≤100
459314071262613,Zeynettin Aydın,Zeynettin Aydın,≤100
510344522371733,Oy ve Ötesi,Oy ve Ötesi,≤100
102136265975857,Dr. Ahmet ÖZEN,These ads ran without a disclaimer,≤100
106789305232883,وكالة الشرق الأوسط الإخبارية,وكالة الشرق الأوسط الإخبارية,≤100
1620080691588973,Serkan SARI,Serkan Sarı,≤100
100625766126116,Cominify,Cominify,≤100
108552928182311,Al Sancak Partisi,Nuri Çelebi,≤100
575755372513811,Muhittin Böcek,Antalya Büyükşehir Belediyesi,≤100
101452889278837,Ahmet Burak TURGUT,Ahmet Burak TURGUT,≤100
108107585034488,Bahadır Erdem,Bahadır Erdem,≤100
413113452433564,Cengiz Gökçel,Cengiz Gökçel,≤100
1211749922209927,CHP Yurt Dışı Örgütlenme,Ali Dağdelen,≤100
100930021431743,Gazete Kolektif,Ercan Erdal,≤100
101605686227473,,Hakan Kuşçuoğlu,≤100
101198518278121,Mehmet Selim Girbiyanoğlu,Mehmet Selim Girbiyanoglu,≤100
465887546792664,Halkın Kurtuluş Partisi - HKP,TAYFUR BİN,≤100
312191205937676,Harun Solak,Harun Solak,≤100
107924807410702,Samet Bağcı,Samet Bağcı,≤100
