Page ID,Page name,Disclaimer,Amount spent (SAR)
113448085040707,albandresa,These ads ran without a disclaimer,≤100
1596937110521979,Baheya Foundation - مؤسسة بهية,These ads ran without a disclaimer,≤100
113829481676792,سكوب للتدريب وتنمية الموارد البشرية - Scope STHRD,These ads ran without a disclaimer,≤100
102074335941222,Amil in Karachi,These ads ran without a disclaimer,≤100
266878498498509,OngkoBiggan.com,These ads ran without a disclaimer,≤100
106889128630292,kanab.12,These ads ran without a disclaimer,≤100
106921975073316,Jusoor Post - جسور بوست,These ads ran without a disclaimer,≤100
107867625671167,Online office Agent,These ads ran without a disclaimer,≤100
101262239238670,بولوتيكا - Polotica,These ads ran without a disclaimer,≤100
112216228532974,Lesly Crona,These ads ran without a disclaimer,≤100
105754025886661,RR Telecom-7,These ads ran without a disclaimer,≤100
