Page ID,Page name,Disclaimer,Amount spent (SAR)
106695651835392,Riyadh Expo 2030,These ads ran without a disclaimer,≤100
110746171982463,Mozzn,These ads ran without a disclaimer,≤100
108536448817351,القاهرة للسيارات الكورية-Cairo for Korean Auto,These ads ran without a disclaimer,≤100
107668211525443,manalmkattan,These ads ran without a disclaimer,≤100
103165837903577,Twjeih,These ads ran without a disclaimer,≤100
378491012597207,وزارة الأوقاف والإرشاد,These ads ran without a disclaimer,≤100
110251878774224,Thai down  Store,These ads ran without a disclaimer,≤100
187766727949541,Deportivo Alavés,These ads ran without a disclaimer,≤100
1508734656091225,فرسان الإمارات,These ads ran without a disclaimer,≤100
119682554490431,মাহাফুজ ভাই,These ads ran without a disclaimer,≤100
103671952774472,Md Habibul Islam,These ads ran without a disclaimer,≤100
106062525869064,Tuhinur Rahman,These ads ran without a disclaimer,≤100
372634879599800,Olymp Trade,These ads ran without a disclaimer,≤100
189999018361997,هيثم حسين,These ads ran without a disclaimer,≤100
110470091436602,Ici Beyrouth,These ads ran without a disclaimer,≤100
