Page ID,Page name,Disclaimer,Amount spent (GBP)
241312696375349,National Education Union,National Education Union,5861
106626487721376,Amazon Europe,Amazon Europe,5849
7715002593,UNICEF UK,Unicef UK,4265
102639461303190,Fair Pay For All,Fair Pay For All,4096
311627208673,WWF UK,WWF UK,3662
9250349228,Greenpeace UK,Greenpeace UK,3395
13047522725,Crimestoppers,Crimestoppers,2503
345463602161853,bp,bp,2227
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),1887
45986010500,Barnardo's,Barnardo's,1826
186622728032,RSPB,RSPB,1802
10677003998,Shelter,Shelter,1384
799576543492660,The Week Junior,The Week Junior,1340
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,1241
403187191250,Soccer Aid,UNICEF UK,1126
7043497714,Christian Aid,Christian Aid,996
7214031395,Oxfam Great Britain,Oxfam Great Britain,934
35671512696,World Animal Protection UK,World Animal Protection UK,894
167898406587045,Holiday Extras,Holiday Extras,790
177855115588808,The Week UK,The Week UK,788
121936349543,World Vision UK,World Vision UK,776
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,753
34044296391,Surfers Against Sewage,Surfers Against Sewage,711
569834799727730,National Grid UK,National Grid UK,680
103662352102391,Family Debt Help,Ian Keith Parsons,678
10114144851,NSPCC,NSPCC,655
209644529058679,McDonald's,These ads ran without a disclaimer,573
7527864602,WaterAid UK,WaterAid UK,516
220513170893,Ripple Effect,Send a Cow,461
117476785190,Save the Children UK,Save the Children UK,460
353224381469808,ifaw,IFAW,445
139695000173,Good Energy UK,Good Energy,432
123027101047606,Pancreatic Cancer UK,Pancreatic Cancer UK,428
1660600037490738,Guardian Labs,Guardian Labs,391
693990677314288,Royal London,Royal London,379
59367068326,The Ramblers,The Ramblers,348
127031794038958,Blue Marine Foundation,Blue Marine Foundation,341
175338329150218,Help For Heroes,Help for Heroes,339
123311187737843,GSK,GSK,337
1738524969810037,Mission India UK,Mission India UK,332
25749647410,The Labour Party,The Labour Party,332
220543443746,International Rescue Committee - UK,International Rescue Committee UK,330
246872175166,Action Against Hunger UK,Action Against Hunger UK,320
158077247591710,Refuge,Refuge,303
195754307110390,Right To Life UK,Right To Life UK,299
18168505158,The Woodland Trust,Woodland Trust,295
274651352565844,Oltco Ltd,Oltco Ltd,283
26698813123,British Red Cross,British Red Cross,271
1382543595173440,Humane Society International - UK,Humane Society International - UK,269
