Page ID,Page name,Disclaimer,Amount spent (TWD)
102250944650873,本質研究 SKINeed,依諭 李,≤100
359412951284086,啟景國際 KGC - 移民·護照·留學·置產,啟景國際 KGC - 移民·護照·留學·置產,≤100
151776788178402,TechOrange 科技報橘,These ads ran without a disclaimer,≤100
539442439399218,CDPA,中華辯論推廣協進會,≤100
1077643469031600,長風基金會,Pei Fang Hsieh,≤100
376687563131189,謝衣鳯,衣鳯謝,≤100
104769512414900,Ru's Bebe 日韓童裝選物,These ads ran without a disclaimer,≤100
224048024739982,段樹文,段樹文,≤100
100440469276192,坐島觀天In the view of Taiwanese,立場新聞-台灣,≤100
276861822357066,高金素梅(吉娃斯．阿麗),智葟 陳,≤100
546919432374583,台灣三井不動產－投資顧問部,緻霖高,≤100
154580453959,公民監督國會聯盟（公督盟）,公民監督國會聯盟（公督盟）,≤100
101576862144790,工程師看政治,玄超 黃,≤100
103159872457215,RWE 萊茵能源,These ads ran without a disclaimer,≤100
1503745219913314,"孫大千Sun, Ta-Chien",宜軒 李,≤100
105742975534267,麥寮鄉民代表 吳明宜 服務團隊,麥寮鄉民代表 吳明宜 服務團隊,≤100
1843778662346739,慈恩哲思之丘 Cien reflection zone,宥漆吴,≤100
460410744059213,TotalEnergies,沛儒謝,≤100
111289515704943,環境品質文教基金會 EQPF,佾展 鄭,≤100
114999871197220,ChipMaster,These ads ran without a disclaimer,≤100
257137894309103,《車主》雜誌（Automobile Magazine Hong Kong）,These ads ran without a disclaimer,≤100
