Page ID,Page name,Disclaimer,Amount spent (NIO)
856012741442139,Ipas LAC,Neuma,≤100
163612320390775,Pantaleon,These ads ran without a disclaimer,≤100
2389307061314370,Vidas Sitiadas,These ads ran without a disclaimer,≤100
