Page ID,Page name,Disclaimer,Amount spent (GBP)
102639461303190,Fair Pay For All,Fair Pay For All,504
345463602161853,bp,bp,425
7214031395,Oxfam Great Britain,Oxfam Great Britain,285
9250349228,Greenpeace UK,Greenpeace UK,262
321116781287149,e.on,E.ON UK,198
7715002593,UNICEF UK,Unicef UK,177
311627208673,WWF UK,WWF UK,143
159100234275780,UK Government Scotland,Office of the Secretary of State for Scotland,111
35671512696,World Animal Protection UK,World Animal Protection UK,105
21242962092,ClientEarth,ClientEarth,104
186622728032,RSPB,RSPB,102
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,≤100
13047522725,Crimestoppers,Crimestoppers,≤100
1061681237231403,Seabright Live,Seabright Productions Ltd,≤100
121936349543,World Vision UK,World Vision UK,≤100
7043497714,Christian Aid,Christian Aid,≤100
167898406587045,Holiday Extras,Holiday Extras,≤100
799576543492660,The Week Junior,The Week Junior,≤100
158077247591710,Refuge,Refuge,≤100
310039442421596,Scottish Labour Party,Scottish Labour Party,≤100
220543443746,International Rescue Committee - UK,International Rescue Committee UK,≤100
47612991154,Dignity in Dying,Dignity in Dying,≤100
18044497940,Plan International UK,Plan International UK,≤100
177855115588808,The Week UK,The Week UK,≤100
105414346223667,The Scottish Parliament,The Scottish Parliament,≤100
175338329150218,Help For Heroes,Help for Heroes,≤100
117476785190,Save the Children UK,Save the Children UK,≤100
249209468838241,Good Law Project,Good Law Project,≤100
6233536938,War Child UK,War Child UK,≤100
208573062515662,Freedom from Torture,Freedom from Torture,≤100
104768005247443,Say No To WHO,Say no to WHO,≤100
116625838402686,FareShare,FareShare,≤100
569834799727730,National Grid UK,National Grid UK,≤100
144289436063611,Drax Group UK,Drax Corporate Limited,≤100
195754307110390,Right To Life UK,Right To Life UK,≤100
7783116506,Animals Asia,Animals Asia,≤100
18168505158,The Woodland Trust,Woodland Trust,≤100
705825476138789,Hubbub,Hubbub,≤100
7527864602,WaterAid UK,WaterAid UK,≤100
101558386889,Shelter Scotland,Shelter Scotland,≤100
25749647410,The Labour Party,The Labour Party,≤100
802671466445707,Product Earth,Product Earth,≤100
353224381469808,ifaw,IFAW,≤100
135456716565905,Guardian Jobs,Guardian Jobs,≤100
657070411062471,Anas Sarwar,Scottish Labour Party,≤100
1586251881644270,Keir Starmer,The Labour Party,≤100
137660096284927,Child Poverty Action Group (UK) - CPAG,Child Poverty Action Group,≤100
220513170893,Ripple Effect,Send a Cow,≤100
59367068326,The Ramblers,The Ramblers,≤100
29976850080,Sense,Sense,≤100
290498754454402,European Movement UK,European Movement UK,≤100
112845639376,Refugee Action,Refugee Action,≤100
346684596111093,KinKind,KinKind Ltd,≤100
246872175166,Action Against Hunger UK,Action Against Hunger UK,≤100
200006375787,38 Degrees,38 Degrees,≤100
103559634900519,Oltco Ltd,Oltco Ltd,≤100
10114144851,NSPCC,NSPCC,≤100
110538548040758,Care2 UK,John Ayling & Associates,≤100
106485089051237,Douglas Alexander for East Lothian,East Lothian Labour Party,≤100
18933990398,Stonewall,Stonewall UK,≤100
169042736456594,All Out,All Out,≤100
104255571968810,Save My Vape,Save My Vape,≤100
25919404073,Energy Saving Trust,Energy Saving Trust,≤100
1660600037490738,Guardian Labs,Guardian Labs,≤100
97116898596,Sightsavers,Sightsavers,≤100
10986039307,VSO,VSO,≤100
1046117708754519,Care4Calais,Care4Calais,≤100
89151782746,Fauna & Flora,Fauna & Flora International,≤100
25040545213,Contact - For families with disabled children,Contact,≤100
490007667679401,Hugh James,Hugh James,≤100
9580139707,Battersea,Battersea,≤100
39605200520,ActionAid UK,ActionAid UK,≤100
103835971750,Orbis UK,Orbis UK,≤100
110934940687948,"Sharon Graham - General Secretary, Unite the Union",Unite Sharon Graham,≤100
199098633470668,LADbible,These ads ran without a disclaimer,≤100
358531814192900,Bloomsbury Publishing UK,Bloomsbury Publishing UK,≤100
197176716983922,Royal Society of Edinburgh,Royal Society of Edinburgh,≤100
319465674441,Game & Wildlife Conservation Trust (GWCT),Game & Wildlife Conservation Trust (GWCT),≤100
7624294394,Amnesty International UK,Amnesty International UK,≤100
18366996074,War on Want,War on Want,≤100
19110072263,FOUR PAWS,FOUR PAWS GB,≤100
105921025697392,Glimpse,The Glimpse Network LTD,≤100
107458721218674,ADF UK,ADF UK,≤100
9695206314,Sustrans,Sustrans,≤100
106205865302441,Just Stop Oil,Just Stop Oil,≤100
39195572726,Republic,Republic,≤100
103873728709469,Highlands & Islands Climate Hub,North Highlands & Islands Climate Hub CIC,≤100
100492408083500,Pam Gosal MSP,Pam Gosal MSP,≤100
111503161740182,AGBI,AGBI,≤100
109403712473243,Bristol Energy Cooperative,Bristol Energy Cooperative,≤100
139695000173,Good Energy UK,Good Energy,≤100
131891836851920,MAF UK,Mission Aviation Fellowship UK,≤100
7950759473,Cancer Research UK,Cancer Research UK,≤100
37981137361,The Children's Society,The Children's Society,≤100
164362913586214,Womankind Worldwide,Womankind Worldwide,≤100
41819722370,CAP - Christians Against Poverty UK,Christians Against Poverty,≤100
112712550420527,Ekō UK,Ekō,≤100
534501720220577,Transform Trade,Transform Trade,≤100
303760836322372,Bullen Healthcare,Bullen Healthcare,≤100
