Page ID,Page name,Disclaimer,Amount spent (CRC)
643513979193133,Unidos por Beatriz,Neuma,1907
105299712285609,Otra Visión,Otra Visión,1636
161538647202796,David Segura - Diputado,David Lorenzo Segura Gamboa,714
168286823190319,Cámara de Industrias de Costa Rica,Cámara de Industrias de Costa Rica,600
116150003163125,Fundación Pollitos de Hierro - Ayuda a niños con cáncer - Costa Rica,Fundación Pollitos de Hierro,224
102084562479533,Digital506,Digital506,≤100
265843867173714,La Revista,La Revista,≤100
101684404976806,estefania.danae,These ads ran without a disclaimer,≤100
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,≤100
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,≤100
