Page ID,Page name,Disclaimer,Amount spent (AOA)
101014586118927,Apkshop,Graciete De Carvalho Faustino,3775
270167810536121,SUGE Internacional,These ads ran without a disclaimer,513
256341811443198,Iurisbook,José Paulo Maiandi,513
423670114403144,Trending in China,These ads ran without a disclaimer,154
273289456666905,CCECC,These ads ran without a disclaimer,≤100
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100
684480475094920,Discover Inner Mongolia,These ads ran without a disclaimer,≤100
576998768997609,Josefinas,These ads ran without a disclaimer,≤100
19746387261,Humane Society International,These ads ran without a disclaimer,≤100
131052503759881,Câmara de Comércio de Moçambique,These ads ran without a disclaimer,≤100
