Page ID,Page name,Disclaimer,Amount spent (CRC)
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,2688
643513979193133,Unidos por Beatriz,Neuma,1844
102084562479533,Digital506,Digital506,990
856012741442139,Ipas LAC,Neuma,732
102643532445938,Ada Acuña - Diputada,Jacqui Solano,562
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,560
399929296730642,Consejo Nacional de Cooperativas,Jonathan Ureña Vargas,560
103284565735111,El Venezolano CR,These ads ran without a disclaimer,202
265843867173714,La Revista,La Revista,158
2006883116083469,Cristopher Montero Jiménez,Cristopher Montero Jimenez,≤100
357764431229,Center for Justice and International Law-CEJIL,These ads ran without a disclaimer,≤100
100891269592544,globaltrading_pro,These ads ran without a disclaimer,≤100
100508562815254,Juan Diego González Picado,Juan Diego González Picado,≤100
