Page ID,Page name,Disclaimer,Amount spent (UYU)
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,≤100
933054216858962,PCU Departamental Maldonado,PCU Departamental Maldonado,≤100
102658895494661,Irene Gonçalvez Mautone,Irene Gonçalvez Mautone,≤100
345752620107645,Ronda de saberes,These ads ran without a disclaimer,≤100
233654837608,La Crónica de Hoy,These ads ran without a disclaimer,≤100
106265072180881,UruguaySi,Uruguay Si,≤100
857096944310280,Ismael Blanco,Ismael Blanco Martino,≤100
102912465228640,marissicampos,These ads ran without a disclaimer,≤100
1013323835449673,Inddhhuruguay,Lucía Ines Scrigna Batlle,≤100
1424003061235730,Asociación Autismo en Uruguay,Arlene Raquel Navarro Aguiar,≤100
