Page ID,Page name,Disclaimer,Amount spent (PYG)
107674934088892,Enex Paraguay,Enex Paraguay,232643
1659775060937880,Guido González,Guido González,97900
103594265451560,Diana Recalde,Diana Recalde,96497
347341592056826,Sergio Estigarribia.,Sergio Estigarribia.,72701
119553594470754,Analia Figueroa Intendente 2023,Clicnovo,58161
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,54846
108779854000922,Enrique Quintana,Enrique Quintana,38241
100975932038932,Carol González-Concejal,Carol González-Concejal,30979
100157179072061,Financiera ueno SAECA,These ads ran without a disclaimer,14540
1365651890238610,Soberanía Paraguay,Prensa_Py,5280
111914656998808,Dr. Dionisio Ortega,Dr. Dionisio Ortega,4304
107706177740738,Periodismo 29,Periodismo 29,4137
374150606029155,Santa Clara S.A. Medicina Prepaga,These ads ran without a disclaimer,3322
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,946
199183900150149,Platzi,These ads ran without a disclaimer,509
226495524759910,Quimicando Com o Prof. Rudimar,These ads ran without a disclaimer,≤100
1661980207382407,Princess Pat Akpabio,These ads ran without a disclaimer,≤100
134762503224216,ABBRobotics,These ads ran without a disclaimer,≤100
122115704210281,Maria Aparecida VS,These ads ran without a disclaimer,≤100
