Page ID,Page name,Disclaimer,Amount spent (QAR)
305351836213206,National Human Rights Committee,National Human Rights Committee,212
102983348817387,يونس عباد على النوبي,These ads ran without a disclaimer,≤100
113932998399330,alsharshani_j,These ads ran without a disclaimer,≤100
103804559385204,tareqalemadi,These ads ran without a disclaimer,≤100
1246179392089770,Rooda Al_Qebaisi,These ads ran without a disclaimer,≤100
116232578055472,SBH Education,These ads ran without a disclaimer,≤100
101432899149374,dxbrealestate1,These ads ran without a disclaimer,≤100
1837213666531447,Arkan l أركان,These ads ran without a disclaimer,≤100
102140432702863,Cm Hasan,These ads ran without a disclaimer,≤100
1517088885216557,AIG,These ads ran without a disclaimer,≤100
100857675472522,ScreeN+,These ads ran without a disclaimer,≤100
111601691526415,The Legacy Investments,These ads ran without a disclaimer,≤100
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100
105141855841785,farisul_truth,These ads ran without a disclaimer,≤100
145028549003137,Shoman Foundation مؤسسة عبد الحميد شومان,These ads ran without a disclaimer,≤100
