Page ID,Page name,Disclaimer,Amount spent (HNL)
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,108
130202453827085,Asociacion Calidad de Vida,Asociación Calidad de Vida,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
1047750315359377,Tato Loucel,Edgardo  Hernan Loucel Aguilera,≤100
112731733833728,Familias: Ahora,These ads ran without a disclaimer,≤100
108418240572099,jackye.garcia.9,These ads ran without a disclaimer,≤100
285530825204,Klitschko,These ads ran without a disclaimer,≤100
1720702718165314,ADAMA Ltd.,These ads ran without a disclaimer,≤100
219691521391155,BELLART Escola de Cuina i Pastisseria Professional,These ads ran without a disclaimer,≤100
107081195503583,bammentors,These ads ran without a disclaimer,≤100
195210991410496,Acadian Plant Health LATAM,These ads ran without a disclaimer,≤100
