Page ID,Page name,Disclaimer,Amount spent (ISK)
737169626371453,Heimildin,Stundin,11854
152804904889,Samfylkingin,Samfylkingin,3592
128854307193614,Landsvirkjun,Landsvirkjun,2044
164555479899,Samfylkingin í Hafnarfirði,Samfylkingin í Hafnarfirði,2043
396010277151129,Sjálfstæðisfélag Seltirninga,Sjálfstæðisfélag Seltirninga,1681
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,1346
154893001218870,ADHD samtökin,ADHD samtökin,1210
196907954119033,Orkustofnun,Orkustofnun,1140
423451321043674,Vinstrihreyfingin - grænt framboð,Vinstrihreyfingin - grænt framboð,1004
103123311914005,Elva Hrönn Hjartardóttir,Elva Hrönn Hjartardóttir,833
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,690
357896717565932,Jóhanna Gunnarsdóttir í stjórn VR 2023,These ads ran without a disclaimer,603
276274722490886,Alþýðusamband Íslands - ASÍ,These ads ran without a disclaimer,595
1259808350720927,Þorgerður Katrín Gunnarsdóttir,Viðreisn,545
103357006018056,Kjósum Helgu Ingólfs í stjórn VR 2023-2025,These ads ran without a disclaimer,431
107002601345017,VÁ - Félag um vernd fjarðar,These ads ran without a disclaimer,298
626846780726124,Viðreisn,Viðreisn,230
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Árni Guðmundsson,169
165630723862615,Andríki,Andríki,134
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,≤100
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,≤100
