Page ID,Page name,Disclaimer,Amount spent (KES)
112465897227532,Solomon Kuria,Cornelius Murimi Muriithi,1159
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,1050
100835685957727,PRO PEACE KENYA,Trance Marketing Hub Ltd,552
412238482219683,Kambaland,Kambaland,363
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,224
101395678744958,Hon Philomena Chenangat Loitarengan,Philomena Chenangat Loitarengan,216
103644672731725,Amb. Nancy Karigithu,Arkinst Limited,200
113294518417695,Kithure Kindiki Fans,These ads ran without a disclaimer,190
105833652399018,Maina Karobia,Mwangi Godfrey Maina,101
114281684885161,Binti Saida Chesang Musa,These ads ran without a disclaimer,≤100
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,≤100
173516606349429,Hon Wavinya Ndeti,Wavinya Ndeti,≤100
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
1990880717882519,The China Current,These ads ran without a disclaimer,≤100
117220684614630,Safe Haven Foundation,These ads ran without a disclaimer,≤100
105336055090792,Luisa Chimá,These ads ran without a disclaimer,≤100
