Page ID,Page name,Disclaimer,Amount spent (VND)
121473045207787,Như Hoa,These ads ran without a disclaimer,71374
104462548985190,Huyền Thảo,These ads ran without a disclaimer,60006
868529503523962,Vân Hiền,These ads ran without a disclaimer,59228
136777237006600,Dương Thuý,These ads ran without a disclaimer,44965
113572597633089,Linh Hiền,These ads ran without a disclaimer,16044
111831663772285,BOMvn,BOMvn,7949
105033305594595,Nguyệt Hương,These ads ran without a disclaimer,2616
1507429892822619,BOM Money,BOM Money,1680
101706612600436,Liên Vy,These ads ran without a disclaimer,1470
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,820
104640271243082,Bách Hóa Ăn Dặm,Bách Hóa Ăn Dặm,737
100190251454228,Bình Bán Book,These ads ran without a disclaimer,274
101865258169428,ĐEN Secondhand,ĐEN Secondhand,253
155460521146066,RFI Tiếng Việt,These ads ran without a disclaimer,≤100
113791813611399,Kim Hoa,These ads ran without a disclaimer,≤100
108251684871703,Lemon8,These ads ran without a disclaimer,≤100
