Page ID,Page name,Disclaimer,Amount spent (HNL)
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
114601521910,Jorge Aldana,Jorge  Aldana,≤100
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100
110882925332549,,Yani Benjamin Rosenthal Hidalgo,≤100
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100
104599735671754,Goberna Honduras,Goberna Honduras,≤100
1392592317738074,Jorge Cálix,Jorge Cálix,≤100
1619479898324505,Partido Liberal de Honduras,Partido Liberal de Honduras,≤100
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,≤100
