Page ID,Page name,Disclaimer,Amount spent (SEK)
8040892957,Socialdemokraterna,Socialdemokraterna,168
87535551716,Världskulturmuseet,Världskulturmuseerna,158
271560012882635,Svenskt Näringsliv Västra Götaland,Svenskt Näringsliv Västra Götaland,149
953625484698810,Brottsofferjouren Storgöteborg,Brottsofferjouren Storgöteborg,141
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,131
379686162129542,Svea Bank,Svea Ekonomi,131
273053169937029,ClimateHero,ClimateHero,123
1531320107133721,Syre,Dagens O2 AB,120
1003470476370749,Miljöpartiet de Gröna i Uddevalla,Johan Isak Jannert,110
152085291138,Aktuellt i Politiken,Aktuellt i Politiken,104
103296115466644,Skattenytta,Kommissionen för Skattenytta,104
328754490337,Vårdförbundet,Vårdförbundet,101
179931025357058,Kommunal,Kommunal,≤100
239855722130,Nyhetsmagasinet Fokus,Fokus,≤100
249195615122371,Sara Skyttedal,Sara Skyttedal,≤100
253510692370,Arbetaren,Arbetaren,≤100
103945879157509,Nordea Fonder,Nordea Funds AB,≤100
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,≤100
167847649916608,Friends,Stiftelsen Friends,≤100
169151353117822,Folkuniversitetet Göteborg,Folkuniversitetet Göteborg,≤100
614939535271869,Tobias Baudin,Socialdemokraterna,≤100
166406746310,Resumé,Resumé,≤100
175843834306,WaterAid Sverige,WaterAid Sverige,≤100
104150768465045,Med Israel för fred - MIFF Sverige,Med Israel for fred-Sverige,≤100
1545369075688158,Brottsofferjouren Sverige,Brottsofferjouren Sverige,≤100
183512318424647,Magdalena Andersson,Socialdemokraterna,≤100
302201957541,Medelhavsmuseet,Världskulturmuseerna,≤100
312084019369,Dagens Medicin,Dagens Medicin,≤100
147248651959750,Samhällsvetenskap-GU,Lars-Olof Karlsson,≤100
163305633746125,Karneval förlag,Holviks,≤100
335332543421,Försvarshögskolan,Försvarshögskolan,≤100
314283591054,Byggnads,Byggnads,≤100
690167674732029,Lena Hallengren,Socialdemokraterna,≤100
965458110149319,Byggindustrin,Byggindustrin,≤100
539297539496434,Dagens Samhälle,Dagens Samhälle,≤100
303557933102892,Rädda Regnskog,Pella Thiel,≤100
1139097292843761,Kristdemokraterna Göteborg,Miriam Helena Lilja,≤100
382066395683576,Dustin,Dustin,≤100
214856611410,Svenska Postkodlotteriet,Svenska Postkodlotteriet,≤100
100941935326134,RekonstruktionsGruppen,Rekonstruktionsgruppen Sverige AB,≤100
17775970938,Cancerfonden,Cancerfonden,≤100
129016447116122,Aktuell Hållbarhet,Aktuell Hållbarhet,≤100
1288661951220034,Närhetsliv Boden,Bodens kommun,≤100
653072158104424,Emma Wiesner,Emma Wiesner,≤100
329452290816078,Tidningen Market,Tidningen Market,≤100
120216874723147,Svenskt Sigill,Svenskt Sigill,≤100
