Page ID,Page name,Disclaimer,Amount spent (JMD)
108243272211736,therealjavougnhunter,These ads ran without a disclaimer,≤100
183757271681416,The Governor-General's Programme for Excellence - GGPE,The Governor-General's Programme for Excellence,≤100
