Page ID,Page name,Disclaimer,Amount spent (CRC)
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,2959
643513979193133,Unidos por Beatriz,Neuma,1019
102643532445938,Ada Acuña - Diputada,Jacqui Solano,597
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,592
999188666785524,阿里巴巴集團,These ads ran without a disclaimer,≤100
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100
106386888743470,Ordinarilyla.com,These ads ran without a disclaimer,≤100
178194518893277,اقرأ لي,These ads ran without a disclaimer,≤100
116430521327202,Luiza Garcia P,These ads ran without a disclaimer,≤100
100659342913338,Cambiemos La Regla,These ads ran without a disclaimer,≤100
