Page ID,Page name,Disclaimer,Amount spent (ISK)
269089752708,Sjálfstæðisflokkurinn,Sjálfstæðisflokkurinn,10095
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,7214
626846780726124,Viðreisn,Viðreisn,5754
573559522797177,Flokkur fólksins,Flokkur Fólksins,5524
152804904889,Samfylkingin,Samfylkingin,3980
423451321043674,Vinstrihreyfingin - grænt framboð,Vinstrihreyfingin - grænt framboð,3564
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,2921
737169626371453,Stundin,Stundin,2257
41021009350,Framsókn,Framsókn,2250
106979180938014,Samstöðin,Samstöðin ehf,1741
164555479899,Samfylkingin í Hafnarfirði,Samfylkingin í Hafnarfirði,1564
154893001218870,ADHD samtökin,ADHD samtökin,1144
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,1076
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,947
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,834
509866436098947,Sabine Leskopf,Sabine Leskopf,801
108295544832396,Jóhann Páll Jóhannsson,Jóhann Páll Jóhannsson,749
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,686
2375329499365063,Verkalýðsfélagið Hlíf,Verkalýðsfélagið Hlíf,582
332179950192248,Félag atvinnurekenda,Félag atvinnurekenda,410
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,391
106248149037837,Whether,These ads ran without a disclaimer,≤100
100488762759295,FOA_Invest,These ads ran without a disclaimer,≤100
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100
2246107578840730,Vēja enerģijas asociācija,These ads ran without a disclaimer,≤100
103360719348709,Tech Baltic Oil,These ads ran without a disclaimer,≤100
217152465051749,Klean Kanteen Scandinavia,These ads ran without a disclaimer,≤100
10423517786,Harvard Business Review,These ads ran without a disclaimer,≤100
139666286225597,Euranet Plus - Official,These ads ran without a disclaimer,≤100
