Page ID,Page name,Disclaimer,Amount spent (AUD)
532962446729390,Australian Families,Department of Social Services,909
101589645013040,Thrive by Five,Thrive By Five,819
952274664938382,Phillip Thompson OAM MP - Serving Our Community,Philip Bruce Thompson,699
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,676
104180525925926,Fair Australia,Advance Australia,449
299753643444311,AEC,Australian Electoral Commission,433
494820897261439,Bank Australia,Bank Australia,415
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,402
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,358
109540078293238,Affordable Medicines Now,The Pharmacy Guild of Australia,348
514475628623089,Our Watch,Our Watch,345
105187691260140,"Pharmacy Guild of Australia, QLD","Pharmacy Guild of Australia, QLD",291
160054227468,World Vision Australia,World Vision Australia,284
165242077409311,Australian Automobile Association,Australian Automobile Association,271
376006035816016,Storyworth,These ads ran without a disclaimer,261
447447719391089,Health Care Providers Association,Health Care Providers Association,254
107939487783753,Garth Hamilton MP,Garth Hamilton MP,240
1776727752614025,Glencore,Glencore Australia,208
195538532456,UNICEF Australia,UNICEF Australia,203
105074562868386,The Fred Hollows Foundation,These ads ran without a disclaimer,199
182564410468,Australia for UNHCR,Australia for UNHCR,198
205327792883589,Stuart Robert MP,Stuart Robert MP,178
89794331215,Oxfam,Oxfam Australia,168
10113538711,WWF-Australia,WWF-Australia,166
523586527672529,Annastacia Palaszczuk MP,Annastacia Palaszczuk MP,146
184543928960,National Party of Australia,National Party of Australia,146
351313714891862,Australian Good Meat,Meat & Livestock Australia,135
162107547181406,LNP - Liberal National Party,Liberal National Party of Queensland,130
157481181070130,Indigenous Employment Australia,Access,124
198538033525283,deadly stories,"Department of Seniors, Disability Services and Aboriginal and Torres Strait Islander Partnership",112
100314522404427,Andrew Willcox MP,Liberal National Party of Queensland,111
102329728050606,Yes23,Yes23,≤100
373523642668552,Energy - Queensland,Department of Energy and Public Works,≤100
140527268700,Act for Peace,Act for Peace Ltd,≤100
110456094190032,Changing Aged Care,HSU National,≤100
1020802664670984,Llew O'Brien MP,Llew O'Brien MP,≤100
125812604095801,Invasive Species Council,Invasive Species Council,≤100
135933556447881,Australian Republic Movement,Australian Republic Movement,≤100
361491373921077,Solar Citizens,100% Renewable Community Campaign Public Fund,≤100
10852627380,World Animal Protection Australia,World Animal Protection Australia,≤100
