Page ID,Page name,Disclaimer,Amount spent (HNL)
104557092197036,Instituto Nacional agrario Comayagua,These ads ran without a disclaimer,≤100
703368406666619,Vox Populi HN,Vox Populi HN,≤100
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,≤100
491553204198958,Revistazo.com,Revistazo.com,≤100
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,≤100
130202453827085,Asociacion Calidad de Vida,Asociación Calidad de Vida,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
114601521910,Jorge Aldana,Jorge  Aldana,≤100
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,≤100
347614259651377,Carter Five,These ads ran without a disclaimer,≤100
