Page ID,Page name,Disclaimer,Amount spent (SAR)
182492995603327,PepsiCo Middle East,These ads ran without a disclaimer,139
110419611229873,mwsslwlydbn,These ads ran without a disclaimer,111
109833285292932,tabah_sa,These ads ran without a disclaimer,≤100
101432772170839,Playermaker,These ads ran without a disclaimer,≤100
100917116204689,Shanto Vai,These ads ran without a disclaimer,≤100
110463615029554,smo_alrfah,These ads ran without a disclaimer,≤100
107424440982021,Eekad - إيكاد,These ads ran without a disclaimer,≤100
222717911120348,Venus Remedies Limited,These ads ran without a disclaimer,≤100
34440108608,Net Impact,These ads ran without a disclaimer,≤100
107753762060349,MAKE MDPI,These ads ran without a disclaimer,≤100
110581751226230,Traveler Door - the 1000 page,These ads ran without a disclaimer,≤100
395097957880442,CFS • Circular Fashion System,These ads ran without a disclaimer,≤100
