Page ID,Page name,Disclaimer,Amount spent (TWD)
107061308725353,京華廣場頂級商辦園區,These ads ran without a disclaimer,≤100
112571907179969,玩霸教育,思揚 蘇,≤100
546919432374583,台灣三井不動產－投資顧問部,緻霖高,≤100
872742159541735,財團法人台灣中小企業聯合輔導基金會,These ads ran without a disclaimer,≤100
107162861090654,法律協會-前置協商  更生 清算  免費諮詢,Yaya Lin,≤100
1025786357451330,"范雲  FAN, Yun","范雲  FAN, Yun",≤100
121504021252255,台灣金融研訓院,台灣金融研訓院,≤100
1621835121361449,陳超明-阿明哥粉絲團,超明 陳,≤100
469433823136537,CSRone永續觀點,CSRone永續觀點,≤100
276861822357066,高金素梅(吉娃斯．阿麗),智葟 陳,≤100
159425621565,Inside 硬塞的網路趨勢觀察,The News Lens 關鍵評論網,≤100
125534862174582,法律萬狀通-書狀生成,法律萬狀通-書狀生成,≤100
101812532622958,日本Jmaaメディカル居家保健芳療協會,日本Jmaaメディカル居家保健芳療協會,≤100
327295254323344,基隆市議員-何淑萍,基隆市議員-何淑萍,≤100
201107280815936,潔淨學-不咬手潔淨體貼,永勝 許,≤100
341201720619603,樂維根the vegan全素高蛋白營養專家,These ads ran without a disclaimer,≤100
458945520924346,美國蕾絲床墊-亞太總代理,These ads ran without a disclaimer,≤100
100971679482122,2222-《未來選擇地》,2222,≤100
109358201564879,反廢死Q&A,天恩鄭,≤100
105490091427483,新北市青年公共事務協會,蕭任佑,≤100
639278369550939,余政憲,余政憲,≤100
101718182459153,天秤座戰士,Companionship Digital,≤100
104303444906468,Haier海爾全球廚衛家電專家,Haier海爾全球廚衛家電專家,≤100
796994720374176,鳴人堂,鳴人堂,≤100
376687563131189,謝衣鳯,衣鳯謝,≤100
129452013855801,RITE,RITE,≤100
104805437969925,JERA 台灣捷熱能源,"JERA Energy Taiwan Co., Ltd.",≤100
211551409043883,Innergie,Innergie,≤100
602353113208382,台灣法學基金會,財團法人台灣法學基金會,≤100
613055218722286,澄格室內裝修設計,These ads ran without a disclaimer,≤100
101662265434180,消防安全有法可管,消防安全有法可管,≤100
282131515802876,新北民政保平安,采威國際資訊股份有限公司,≤100
116906978005986,讓中正，更傑出,讓中正，更傑出,≤100
157825744293951,The Garden of Hope Foundation- International Affairs 勵馨基金會國際事務,The Garden of Hope Foundation- International Affairs 勵馨基金會國際事務,≤100
397434441163,左岸文化,左岸文化,≤100
106884252092730,恆好玩｜永續行動平台,恆好玩｜永續行動平台,≤100
101576862144790,工程師看政治,玄超 黃,≤100
107079701135729,樂洋地產 x 樂于創藝 Leyang & You,緻霖高,≤100
105742975534267,吳明宜,吳明宜,≤100
111289515704943,環境品質文教基金會 EQPF,佾展 鄭,≤100
1424904337764519,徐其萬．信賴首選,徐其萬,≤100
317996258579415,黃家齊,黃家齊,≤100
113761234998842,温宗諭,博盛侯,≤100
1503745219913314,"孫大千Sun, Ta-Chien","孫大千Sun, Ta-Chien",≤100
1452376615040708,遠雄集團,遠雄集團,≤100
241744040079991,春山出版,甘彩蓉,≤100
112570843421623,社團法人台灣你不是一個人實踐協會,柏岑 葉,≤100
647774598986133,深聽嘉義-黃思婷議員,林政翰,≤100
673035569401167,育田基金會 Mercyland,財團法人育田社會福利慈善基金會,≤100
593374924100942,經濟民主連合,社團法人經濟民主連合,≤100
575747599156894,環境資訊中心,台灣環境資訊協會,≤100
1645501069043806,科科性別,國立高雄師範大學,≤100
111048064504149,珊騰天下 姜百珊律師,易宏謝,≤100
1946536882225517,YuXiang,These ads ran without a disclaimer,≤100
1409006279407668,美麗而剽悍 婦產科女醫 新竹竹北 張瑜芹醫師,荏傑 楊,≤100
109179878519213,欣巴巴-幸福欣印象,These ads ran without a disclaimer,≤100
739049559498402,元氣網,udn.com,≤100
