Page ID,Page name,Disclaimer,Amount spent (TND)
110514924199743,Fadhel Abdelkefi - فاضل عبد الكافي,Afek Tounes,≤100
109377388621074,casiostandard_watches_official,These ads ran without a disclaimer,≤100
340577086006224,CRI German,These ads ran without a disclaimer,≤100
103009094917117,UNJA,These ads ran without a disclaimer,≤100
105248894707314,أخبار صفاقس,These ads ran without a disclaimer,≤100
625550331152858,فخار يكسر بعضو 4,These ads ran without a disclaimer,≤100
1967732323438896,ضد الفساد,These ads ran without a disclaimer,≤100
209260229112443,Greenpeace غرينبيس,These ads ran without a disclaimer,≤100
101834764544536,unja.tn,These ads ran without a disclaimer,≤100
190126634445277,Africa Defense Forum ADF Magazine,These ads ran without a disclaimer,≤100
114268830265488,Politiket,These ads ran without a disclaimer,≤100
517098898323855,Jeunes Leaders de Tunis - القيادات الشّابّة بتــونس,Jeunes Leaders de Tunis - القيادات الشّابّة بتــونس,≤100
1407356206051371,الشيخ الدكتور وليد السمامعة,These ads ran without a disclaimer,≤100
101148586339578,Fustat Al-Quran فسطاط القرآن,These ads ran without a disclaimer,≤100
101829932732646,Kamal Znidar,These ads ran without a disclaimer,≤100
