Page ID,Page name,Disclaimer,Amount spent (TRY)
294123924402089,Meşhur Devrekani Cırık Tatlıcısı Zafer Usta,These ads ran without a disclaimer,≤100
107754875610654,10 Haber,10 Haber,≤100
141311632555208,Bağımsız Türkiye Partisi,Bağımsız Türkiye Partisi,≤100
462963834529864,Levent Uysal,Levent Uysal,≤100
311834412214641,Dyo,These ads ran without a disclaimer,≤100
1803683629674363,Seçim Analiz,Seçim Analiz,≤100
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,≤100
183134165593297,"SES Eşitlik, Adalet, Kadın Platformu","SES Eşitlik, Adalet, Kadın Platformu",≤100
226410901315304,Areda Survey,Areda Survey,≤100
100701695747178,Usta Kasap,Şenpiliç Gıda Sanayi A.Ş.,≤100
821150371248664,Özgürlük Araştırmaları,Özgürlük Araştırmaları,≤100
369391953226531,Eyüp Eroğlu,Eyüp Eroğlu,≤100
306491676172909,Gerçek Gazetesi,Gerçek Gazetesi,≤100
100675732413915,Anket Adam,Anket Adam,≤100
107276120819529,Halk Haber TV,SİRİUS REKLAM ORGANİZASYON SANAYİ VE TİCARET LİMİTED ŞİRKETİ,≤100
459314071262613,Zeynettin Aydın,Zeynettin Aydın,≤100
104216065502575,Güven İzolasyon Dekorasyon,These ads ran without a disclaimer,≤100
154012084797126,Yeni Şafak,Yeni Şafak,≤100
1776545895921237,Nedersiniz,Nedersiniz,≤100
101321076075048,Nouvelle Aube - Yeni Şafak Français,Nouvelle Aube - Yeni Şafak Français,≤100
100942688529011,osmaniyeyerfistigi80,osmaniyeyerfistigi80,≤100
163370640412446,Bursa,Sosyal TV,≤100
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,≤100
103400816031847,Halk Ajans,Sirius Reklam Organizasyon Sanayi ve Ticaret Ltd. Şti,≤100
103984509238399,Halk Haber,Halk Haber,≤100
101315571670453,Webagron Tarımsal İçerik Platformu,Webagron Tarımsal İçerik Platformu,≤100
103315052537581,Rapor Bülteni,Rapor Bülteni,≤100
101411562779956,Ecrin Yiğit,Ecrin Yiğit,≤100
220319391464566,Vahap Akay,Vahap Akay,≤100
115582434861656,sma_gunesimiz_yedek,These ads ran without a disclaimer,≤100
162426093833308,Fransızca Öğreniyorum,These ads ran without a disclaimer,≤100
442942082484899,Ege Gündem Gazetesi,Ege Gündem Gazetesi,≤100
2326044340975736,ŞİFRE HABER,ŞİFRE HABER MEDYA YAYINCILIK SAN. TİC. LTD. ŞTİ,≤100
103352132598364,Michael MP,These ads ran without a disclaimer,≤100
505992806138474,يني شفق العربية,يني شفق العربية,≤100
104373561467884,Serhat Servet Dövenci,Serhat Servet Dövenci33,≤100
788593847885854,Nermin Yıldırım KARA,Nermin Yıldırım Kara,≤100
127896160644676,KORAY AYDIN,KORAY AYDIN,≤100
1146623488739350,Kocaeli Cumhuriyet TV,Kocaeli Cumhuriyet TV,≤100
298764070816267,Mehmet Tütüncü,Mehmet TÜTÜNCÜ Türkiye Temsilcisi,≤100
104696404820864,Hidra Savunma Sanatları,These ads ran without a disclaimer,≤100
365659397193868,DMAX Turkiye,These ads ran without a disclaimer,≤100
106789305232883,وكالة الشرق الأوسط الإخبارية,وكالة الشرق الأوسط الإخبارية,≤100
745779642241753,TSÜAB,Tohum Sanayicileri ve Üreticileri Alt Birliği (TSÜAB),≤100
115203036969497,Mehmet Yunus Seven,Mehmet Yunus Seven,≤100
102251259614491,sanalmuhabirr,These ads ran without a disclaimer,≤100
276652289141318,OSMAN KOZAN,OSMAN KOZAN,≤100
104790481715851,ازجمله,Azjomle,≤100
108390012832175,Fatih Akkentli,Fatih Akkentli,≤100
506041856143607,Saadet İnegöl,Balin Sandalye,≤100
245746138830255,Ruşen Tellioğlu,These ads ran without a disclaimer,≤100
