Page ID,Page name,Disclaimer,Amount spent (ISK)
497751670242493,Landssamband sjálfstæðiskvenna,Landssamband sjálfstæðiskvenna,7819
573559522797177,Flokkur fólksins,Flokkur Fólksins,4905
269089752708,Sjálfstæðisflokkurinn,Sjálfstæðisflokkurinn,4345
1434262256802295,Borgarbyggð,Borgarbyggð,1734
737169626371453,Stundin,Stundin,1644
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,1638
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,1522
201037343748,Sjálfstæðisflokkurinn í Reykjavík,Sjálfstæðisflokkurinn,1266
106979180938014,Samstöðin,Samstöðin ehf,1033
154893001218870,ADHD samtökin,ADHD samtökin,1022
1438606279746434,Heiða Björg Hilmisdóttir,Heiða Hilmisdóttir,524
709976082356679,Samfylkingin í Kópavogi,Samfylkingin Kópavogi,433
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,342
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,≤100
111166248276745,Invisible Republic,These ads ran without a disclaimer,≤100
134571176638205,One Tree Planted,These ads ran without a disclaimer,≤100
