Page ID,Page name,Disclaimer,Amount spent (UYU)
116101431461403,Ideas de negocio,These ads ran without a disclaimer,116
721629447857727,567 El Espacio,Partido por la Victoria del Pueblo - Espacio 567 - Frente Amplio,≤100
284722471859469,Mario Ayala,These ads ran without a disclaimer,≤100
308762172579887,Rodrigo Goñi Reyes,Rodrigo Goñi Reyes,≤100
225968600759645,Andrés Lima,Andrés Lima,≤100
103988995047541,Diputada Nancy Nuñez Soler,Nancy Nuñez,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
105054722621103,Comisión Pro UVU,These ads ran without a disclaimer,≤100
101375582509907,Juan Barahona,These ads ran without a disclaimer,≤100
530640683655093,President,These ads ran without a disclaimer,≤100
620272568061257,Regum Capital,These ads ran without a disclaimer,≤100
