Page ID,Page name,Disclaimer,Amount spent (HNL)
919092984894463,Partido Salvador de Honduras,Cordelia Ordoñez,≤100
114601521910,Jorge Aldana,Jorge  Aldana,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,≤100
1947339538818882,Gloria Bonilla Diputada,Erika Rivera,≤100
130202453827085,Asociacion Calidad de Vida,Asociación Calidad de Vida,≤100
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100
104599735671754,Goberna Honduras,Goberna Honduras,≤100
483441215141189,ASJ Honduras,Asociación para una Sociedad más Justa,≤100
131602424169035,Oxfam en Español,These ads ran without a disclaimer,≤100
