Page ID,Page name,Disclaimer,Amount spent (VEF)
1382843902038454,Jony Rahal Oficial,an advertiser in Venezuela,3760012
116093674518,César Pérez Vivas,an advertiser in Venezuela,27500
605180843301571,Familias defensoras del planeta,These ads ran without a disclaimer,3594
105242967999187,Soka Gakkai - español,These ads ran without a disclaimer,1759
450326391674911,Allianz,These ads ran without a disclaimer,≤100
1786224525008587,Jose Vicente Alcalde,an advertiser in Venezuela,≤100
141363092729703,DP World,These ads ran without a disclaimer,≤100
1392286137657957,Jorge Rios Designer,These ads ran without a disclaimer,≤100
1492742834336213,Yachay - Concurso Regional de Derechos Humanos,These ads ran without a disclaimer,≤100
110415024779810,the_caribbean_zone,These ads ran without a disclaimer,≤100
102909028767557,Nabil Maalouf,an advertiser in Venezuela,≤100
