Page ID,Page name,Disclaimer,Amount spent (PKR)
120437430938970,Syed Mohammad Kirmani,John Kirmani,8404
282015575255187,Moonis Elahi,Moonis Elahi,6245
106310985616296,Ch Rauf Ahmad Hundal,Ch Rauf Ahmad Hundal,2628
315863402653597,Prime Minister’s Youth Programme,Prime Minister’s Youth Programme,2246
407889229718531,Sardar Tanveer Ilyas Khan,Sardar Tanveer Ilyas Khan,2172
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,1040
543755195637715,Mian Aslam,Mian Aslam,953
361971188258443,Syed Tariq Mahmood ul Hassan,Syed Tariq Mahmood ul Hassan,703
101269169346393,Barrister Abdullah Mumtaz Kahloon,Barrister Abdullah Mumtaz Kahloon,699
102690905990373,Mian Zeeshan Rafique PMLN,Zeeshan Rafique,685
103720225643302,Chaudhry ijaz Ahmad Ranian,Chaudhry ijaz Ahmad Ranian,637
133648753466105,Group Development Pakistan,Group Development Pakistan,551
165581276799084,Commitbiz Management Consultants,These ads ran without a disclaimer,536
1706863532970589,Nasir Hashmi,Osama Rehman Butt,530
252434368713670,Humayun Akhtar Khan,Humayun Akhtar Khan,519
109812220412504,Musa Habib Raja,Musa Habib Raja,497
101737024836683,Anjuman-E-Tajran انجمن تاجران,Mujahid Maqsood Butt,461
97429917898,ProPakistani,ProPakistani,454
103430555733473,Raja Talia Saeed Khan,Raja Talia Saeed Khan,419
101213152594376,Dr. Mehr Mohsin Raza,Dr. Mehr Mohsin Raza,369
2107858016193986,Voice of Sindh,Voice of Sindh,339
104699294839888,Pakistan Tribune,Pakistan Tribune,283
104789632113642,Republic URDU,Republic URDU,279
223495844457800,China Plus Culture,These ads ran without a disclaimer,268
493247557843898,Sania Alam,These ads ran without a disclaimer,268
549412198507631,"Allied Schools Shahpur Campus, Sargodha","Allied Schools Shahpur Campus, Sargodha",265
109000345311180,WE8 Marketing,These ads ran without a disclaimer,259
101371932720459,Malik Mohtisham Raza KhoKhar- مرد بحران,Ahsan Mujtaba,249
102718215543023,Pakistan Republic,Pakistan Republic,248
195176914656595,Saif Ali Khan PP-40,Saif Ali Khan,240
187258925420723,Leading Lawyers,Leading Lawyers,229
107801948674316,BBU News WORLD,BBU NEWS WORLD,188
100297025991496,NA Yazman,NA Yazman,172
100427168538381,Sardar Mehboob Khan Khetran,Sardar Mehboob Khan Khetran,164
100435805831644,Tanveer Ahmad Virk PP141,Jahanzaib Naveed,137
113002131698465,Zahid Khan Official,These ads ran without a disclaimer,116
105467255798071,_medicamentum_,These ads ran without a disclaimer,101
273161129539624,Khalid Javed Warraich,Khalid Javed Warraich,≤100
115558644746754,Ehsan Ul Haq Bajwa,Medical Resource Group,≤100
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100
115206228145270,faraz_lakhani,These ads ran without a disclaimer,≤100
101557952802019,Hussain Marketers,These ads ran without a disclaimer,≤100
103303179348636,Rouf Bhatti,These ads ran without a disclaimer,≤100
105990575253275,fizafarhanofficial,These ads ran without a disclaimer,≤100
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100
111163675041261,Makemajor.club,These ads ran without a disclaimer,≤100
157219929419666,Asean+3 Macroeconomic Research Office,These ads ran without a disclaimer,≤100
194953000528458,Global Campus of Human Rights,These ads ran without a disclaimer,≤100
