Page ID,Page name,Disclaimer,Amount spent (AOA)
102988331717955,Partido Humanista de Angola,Partido Humanista de Angola,1538
117217181279013,Inovae,These ads ran without a disclaimer,513
107801918890922,Masfamu Angola,Masfamu Angola,513
100627069630168,Cecília Martins,These ads ran without a disclaimer,≤100
153063591397681,Amazon Web Services,These ads ran without a disclaimer,≤100
1767096530199949,Zhejiang University,These ads ran without a disclaimer,≤100
104444729065513,Victoria Segovia,These ads ran without a disclaimer,≤100
2173309069660658,Administração do Distrito Urbano do Neves Bendinha,These ads ran without a disclaimer,≤100
100979089555293,Jose Bedoya,These ads ran without a disclaimer,≤100
101584952237158,Fer Barcelar,These ads ran without a disclaimer,≤100
111595864923192,Aasi Tahir Siddique,These ads ran without a disclaimer,≤100
