Page ID,Page name,Disclaimer,Amount spent (CRC)
856012741442139,Ipas LAC,Neuma,2537
643513979193133,Unidos por Beatriz,Neuma,1728
116150003163125,Fundación Pollitos de Hierro - Ayuda a niños con cáncer - Costa Rica,Fundación Pollitos de Hierro,714
168286823190319,Cámara de Industrias de Costa Rica,Cámara de Industrias de Costa Rica,600
102643532445938,Ada Acuña - Diputada,Jacqui Solano,347
110229697990927,Pablo Sibaja - Diputado,Pablo Sibaja Jiménez,≤100
265843867173714,La Revista,La Revista,≤100
1428408544046887,Flacso Uruguay,These ads ran without a disclaimer,≤100
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,≤100
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100
305828002808516,INHOPE - International Association of Internet Hotlines,These ads ran without a disclaimer,≤100
106803408804138,House Of Fun,These ads ran without a disclaimer,≤100
856012741442139,Ipas LAC,These ads ran without a disclaimer,≤100
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,≤100
102199795319206,Pablo Marçal Oficial,These ads ran without a disclaimer,≤100
