Page ID,Page name,Disclaimer,Amount spent (HUF)
112542968445679,Női egészség,These ads ran without a disclaimer,106
107649408940355,Női egészség,These ads ran without a disclaimer,106
113624495003084,Női egészség,These ads ran without a disclaimer,106
519279158277826,Szülői Hang,Szülői Hang,103
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,≤100
107507515621917,Női egészség,These ads ran without a disclaimer,≤100
109510922085681,Női egészség,These ads ran without a disclaimer,≤100
170187966339475,Life.hu,Mediaworks Hungary Zrt.,≤100
85568463466,Mérce,Mérce,≤100
243470906428319,Juhász Hajnalka,Juhász Hajnalka,≤100
107021478565752,Össze-Hordó,Fehérvár Hangja,≤100
108395900927334,Kovács István,Kovács István Megafon,≤100
103478164920832,Rubicon Intézet,Rubicon Intézet,≤100
113897191641828,Női egészség,These ads ran without a disclaimer,≤100
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,≤100
200615179974476,Tégy az abortusz ellen,Karácsonyi Zoltán,≤100
166359293376130,Hévíz Város Önkormányzata,Papp Gábor,≤100
105774734948091,Hungarian Conservative,Hungarian Conservative,≤100
100609808517630,Drogkutató Intézet,Drogkutató Intézet Nonprofit Korlátolt Felelősségű Társaság,≤100
1059773170712510,Őri László,Dr. Őri László Szabolcs,≤100
113375923695023,Fidesz Budapest,Fidesz Budapest,≤100
109098841860461,Solar Innova System,These ads ran without a disclaimer,≤100
320645820787,Haszon magazin,Haszon magazin,≤100
197203437879379,Szaniszló Sándor,Szaniszló Sándor,≤100
228919710581213,Kislábnyom - Small Footprint,GreenDependent Intézet Kft.,≤100
202099276507678,24.hu,24.hu,≤100
117359567958925,Női egészség,These ads ran without a disclaimer,≤100
368672436480114,Duna Televízió,These ads ran without a disclaimer,≤100
132601530109047,Eötvös Károly Közpolitikai Intézet / Eötvös Károly Policy Institute,Eötvös Károly Közpolitikai Intézet,≤100
104305169620404,Nicelife,Czékmán Attila,≤100
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,≤100
144606418883602,MAGOSZ,Magyar Gazdakörök és Gazdaszövetkezetek Szövetsége,≤100
104224244529604,Greendex.hu,These ads ran without a disclaimer,≤100
222720184518334,Font Sándor,Font Sándor,≤100
