Page ID,Page name,Disclaimer,Amount spent (HUF)
1215492498464496,Angyal Károly,LMP - Magyarország Zöld Pártja,115
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,115
109237039114861,MEDIAPIAC.COM,Médiapiac Kft.,114
1869511526651884,Zsigmond Barna Pál,Fidesz,109
611728525606243,CIB Bank,CIB Bank Zrt.,≤100
113375923695023,Fidesz Budapest,Fidesz Budapest,≤100
270300439972751,Szemlélek,Szemlélek Alapítvány,≤100
510078013063912,Rózsa László Péter,Rózsa László Péter,≤100
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,≤100
190624800967882,NANE Egyesület,NANE Egyesület,≤100
100609808517630,Drogkutató Intézet,Drogkutató Intézet Nonprofit Korlátolt Felelősségű Társaság,≤100
103478164920832,Rubicon Intézet,Rubicon Intézet,≤100
103492610994760,Tetlák Örs,LMP - Magyarország Zöld Pártja,≤100
222720184518334,Font Sándor,Font Sándor,≤100
1059773170712510,Őri László,Dr. Őri László Szabolcs,≤100
109565208474856,Startlap - Utazás tippek,Central Médiacsoport Zrt.,≤100
1377431695828132,Nagy István,Dr. Nagy István,≤100
102203505677256,Fenntartható Városok,Fenntartható Közösségek Központja,≤100
320645820787,Haszon magazin,Haszon magazin,≤100
105129068891221,Frisshirek.hu,Genesis Médiacsoport Kft.,≤100
451084968283411,Klímainnovációs Közösség,PANNON Pro Innovációs Kft.,≤100
320701218553533,Alternatíva Párt,Alternatíva párt,≤100
338939005964,Becsó Zsolt országgyűlési képviselő,Fidesz,≤100
286759004682537,Tranzit,Kommentár Alapítvány,≤100
1640736922828484,Sermer Ádám,Adam Sermer,≤100
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,≤100
445067412712417,Dr. Molnár Krisztián,Molnár Krisztián,≤100
228919710581213,Kislábnyom - Small Footprint,GreenDependent Intézet Kft.,≤100
1722969024662464,Civil Összefogás Fórum,Civil Összefogás Fórum,≤100
1863991710304983,Rácz Norbert,Rácz Norbert,≤100
109651004719614,Szol24,Esélyegyenlőség és Fenntarthatóság Egyesület,≤100
1237616006358749,Kékes Online,Kékes Online,≤100
108271407361251,Transzparens Újságírásért Alapítvány,Transzparens Újságírásért Alapítvány,≤100
111032325184666,Beautycle,Beautycle,≤100
176736266308423,Kiss László,Kiss László,≤100
103607814480517,Kovács Alex Gábor,Kovács Alex Gábor,≤100
1139880662693159,Összefogás XI. Sportegyesület,Összefogás 11 Sportegyesület,≤100
103156659242486,Orbán Viktor az európai civilizáció megmentője/kövesd az oldalt/,László Jozsef Szigeti,≤100
198969456922874,MKKP Nyíregyháza,Magyar Kétfarkú Kutya Párt,≤100
920358707978994,Kosztin Mihály - Momentum,Kosztin Mihály,≤100
116925790432558,Lehoczki Ádám,Lehoczki Àdám János,≤100
202099276507678,24.hu,24.hu,≤100
102877499117068,Pálfalvi Milán Nézőpontja,Nézőpont,≤100
124442815810276,Modern Férfipolitikáért Mozgalom,Szujó Flórián Zoltán,≤100
113183730045421,Momentum Klímakörök,Momentum Mozgalom,≤100
436332506794288,Bari-info,These ads ran without a disclaimer,≤100
18562323874,Élet és Irodalom,Székely János,≤100
