Page ID,Page name,Disclaimer,Amount spent (TWD)
144181272662168,台南新芽,台南新芽,≤100
128818803902,兩岸犇報,兩岸犇報,≤100
100334982784555,Mutta沐塔,These ads ran without a disclaimer,≤100
469433823136537,CSRone永續觀點,CSRone永續觀點,≤100
111095091974805,中醫世家-c3,These ads ran without a disclaimer,≤100
264446650796377,阿牧手作,These ads ran without a disclaimer,≤100
101692124799851,穿越西藏自驾游,These ads ran without a disclaimer,≤100
100994929298257,Roscer Clouse,These ads ran without a disclaimer,≤100
101271955630115,Licensed doctor,These ads ran without a disclaimer,≤100
517082544983240,文字工作者－小書,These ads ran without a disclaimer,≤100
