Page ID,Page name,Disclaimer,Amount spent (VEF)
37896015468,"Embajada de los EE.UU., Venezuela",an advertiser in Venezuela,2270016
148231808588187,Gatorade Venezuela,an advertiser in Venezuela,500000
341721517096411,Radio Asamblea Nacional,an advertiser in Venezuela,250000
100891269592544,globaltrading_pro,These ads ran without a disclaimer,13626
1842745336038461,Obras Civiles - Universidad de Santiago,These ads ran without a disclaimer,907
1482174305394430,el pupitre de Pilu,These ads ran without a disclaimer,≤100
100737598193778,maryurikmelendez,These ads ran without a disclaimer,≤100
113169840153497,zurt.ds3,These ads ran without a disclaimer,≤100
310932386258919,Lipstickby,These ads ran without a disclaimer,≤100
144639479449243,Ambiente de Leitura Carlos Romero,These ads ran without a disclaimer,≤100
