Page ID,Page name,Disclaimer,Amount spent (ISK)
737169626371453,Heimildin,Stundin,31059
623887187646891,Bókamarkaðurinn,These ads ran without a disclaimer,8588
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Árni Guðmundsson,5270
103123311914005,Elva Hrönn Hjartardóttir,Elva Hrönn Hjartardóttir,4652
156161194561570,Kjarninn,Kjarninn,3454
152804904889,Samfylkingin,Samfylkingin,3347
423451321043674,Vinstrihreyfingin - grænt framboð,Vinstrihreyfingin - grænt framboð,2438
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,2388
108295544832396,Jóhann Páll Jóhannsson,Jóhann Páll Jóhannsson,1359
41445084925,Röskva - stúdentahreyfing,Röskva - stúdentahreyfing,1254
263095547109656,Sjálfstæðisfélag Garðabæjar,Sjálfstæðisflokkurinn,1031
128854307193614,Landsvirkjun,Landsvirkjun,1016
154893001218870,ADHD samtökin,ADHD samtökin,1010
357896717565932,Jóhanna Gunnarsdóttir í stjórn VR 2023,Jóhanna Gunnarsdóttir í stjórn VR 2023,924
102133046017049,Evrópuhreyfingin,Evrópuhreyfingin,854
622220361283956,Samorka,Samorka,816
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,682
106979180938014,Samstöðin,Samstöðin ehf,676
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,667
165630723862615,Andríki,Andríki,546
509866436098947,Sabine Leskopf,Sabine Leskopf,277
1693693237557525,HiBob,These ads ran without a disclaimer,144
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,≤100
328734170817962,Milda Sabiene - Holistic Coach,These ads ran without a disclaimer,≤100
19746387261,Humane Society International,These ads ran without a disclaimer,≤100
111508197374332,ADB Southeast Asia Development Solutions - SEADS,These ads ran without a disclaimer,≤100
106776559007113,Новости дня,These ads ran without a disclaimer,≤100
