Page ID,Page name,Disclaimer,Amount spent (BSD)
109784241737504,A Closer Look,Fincastle Media Group,≤100
1025152104235573,Team Cooper - Chester Cooper,Isaac Chester Cooper,≤100
110510071864172,"Deputy Prime Minister of The Bahamas, Chester Cooper","Deputy Prime Minister of The Bahamas, Chester Cooper",≤100
108785284600576,"J. Kwasi Thompson, MP East Grand Bahama",Kwasi Malik Thompson,≤100
