Page ID,Page name,Disclaimer,Amount spent (JMD)
447831545247260,Audi Latinoamérica,These ads ran without a disclaimer,≤100
107521691879493,Maritime Authority of Jamaica,These ads ran without a disclaimer,≤100
119151544773109,State of Emergency,These ads ran without a disclaimer,≤100
