Page ID,Page name,Disclaimer,Amount spent (VND)
107863302089291,Vay Trong Ngày 0.72,These ads ran without a disclaimer,9308
102729692622128,VSJ Gold - Mua Vàng Với 100k,These ads ran without a disclaimer,3861
111007318289967,Đầu Tư Cùng Chuyên Gia 5.0,These ads ran without a disclaimer,3327
100628806156366,Đầu Tư Thông Minh,These ads ran without a disclaimer,1746
101293082759001,Vay Trong Ngày 0.95,These ads ran without a disclaimer,1160
102088329494923,Hệ Đào Tạo Từ Xa - Học Viện Công Nghệ Bưu Chính Viễn Thông,These ads ran without a disclaimer,460
1507429892822619,BOM Money,BOM Money,316
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,170
105845511087981,TRUYỀN HÌNH AN VIÊN,TRUYỀN HÌNH AN VIÊN,≤100
111013465230877,SmartCollege,These ads ran without a disclaimer,≤100
108376414976742,NKN Hà Nội,These ads ran without a disclaimer,≤100
