Page ID,Page name,Disclaimer,Amount spent (JMD)
103768381387100,Partnership Initiative for Sustainable Land Management,These ads ran without a disclaimer,≤100
129366111456,Jamaica Information Service,These ads ran without a disclaimer,≤100
