Page ID,Page name,Disclaimer,Amount spent (GBP)
220543443746,International Rescue Committee - UK,International Rescue Committee UK,451
165099760197787,Welsh Government,Welsh Government,345
102639461303190,Fair Pay For All,Fair Pay For All,213
7715002593,UNICEF UK,Unicef UK,205
109602554296513,Your Funded Energy Solution,Huw John Llewellyn,161
311627208673,WWF UK,WWF UK,152
9250349228,Greenpeace UK,Greenpeace UK,130
158077247591710,Refuge,Refuge,112
7231383046,RSPCA (England & Wales),RSPCA,≤100
7624294394,Amnesty International UK,Amnesty International UK,≤100
7214031395,Oxfam Great Britain,Oxfam Great Britain,≤100
348366988862054,Oxfam Campaigns,Oxfam Great Britain,≤100
21242962092,ClientEarth,ClientEarth,≤100
40409120801,Refugee Council,Refugee Council,≤100
7043497714,Christian Aid,Christian Aid,≤100
170911309781648,Veganuary,Veganuary,≤100
190194154347100,Llywodraeth Cymru,Llywodraeth Cymru,≤100
368213053329553,"Department for Business, Energy and Industrial Strategy",These ads ran without a disclaimer,≤100
1682367945366856,POWER Film,Power Film,≤100
799576543492660,The Week Junior,The Week Junior,≤100
121936349543,World Vision UK,World Vision UK,≤100
1450681158291594,Counter Terrorism Police UK,Counter Terrorism Police UK,≤100
7527864602,WaterAid UK,WaterAid UK,≤100
106946654868342,Water's Worth Saving,Water UK,≤100
112845639376,Refugee Action,Refugee Action,≤100
103662352102391,Family Debt Help,Ian Keith Parsons,≤100
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,≤100
59367068326,The Ramblers,The Ramblers,≤100
912590792245688,NHS Negligence Claims,Online Legal Limited,≤100
1660600037490738,Guardian Labs,Guardian Labs,≤100
2558329857727118,Families In Debt,Families in debt,≤100
208189704820,Ellen MacArthur Foundation,Ellen MacArthur Foundation,≤100
1046117708754519,Care4Calais,Care4Calais,≤100
177855115588808,The Week UK,The Week UK,≤100
18168505158,The Woodland Trust,Woodland Trust,≤100
117476785190,Save the Children UK,Save the Children UK,≤100
103090485214325,Oltco Ltd,Oltco Ltd,≤100
116788428355432,Nesta,These ads ran without a disclaimer,≤100
139695000173,Good Energy,Good Energy,≤100
290498754454402,European Movement UK,European Movement UK,≤100
117509421272,St Mungo's,St Mungo's,≤100
59304777880,YMCA England & Wales,YMCA England & Wales,≤100
101255718164248,350 UK,350.org,≤100
112712550420527,Sumofus UK,SumOfUs,≤100
13047522725,Crimestoppers,Crimestoppers,≤100
8270524646,Alzheimer's Society,Alzheimer's Society,≤100
6708565748,CBM UK,CBM UK,≤100
