Page ID,Page name,Disclaimer,Amount spent (HNL)
1152610414791062,LIBRE Islas de la Bahía,Gerardo Jose Francisco Perez Montoya,≤100
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,≤100
130202453827085,Asociacion Calidad de Vida,Asociación Calidad de Vida,≤100
109391388543268,Mariana Alves,These ads ran without a disclaimer,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100
1392592317738074,Jorge Cálix,Jorge Cálix,≤100
104599735671754,Goberna Honduras,Goberna Honduras,≤100
