Page ID,Page name,Disclaimer,Amount spent (AOA)
539786692743987,Sebany Gaspar,These ads ran without a disclaimer,1026
142682279138433,Gaspar Tchanja K.Chingando,Gaspar Tchanja K.Chingando,836
100602915032991,Pedro Tadeu,These ads ran without a disclaimer,558
421002731270405,swisspeace,These ads ran without a disclaimer,≤100
102094172813456,That Africa,These ads ran without a disclaimer,≤100
10606591490,TIME,These ads ran without a disclaimer,≤100
445011182501109,Jean Ngoyi,These ads ran without a disclaimer,≤100
102342747923923,Researchpod,These ads ran without a disclaimer,≤100
2418643321715898,Daily Stickers,These ads ran without a disclaimer,≤100
267390166679737,IESE - Instituto de Estudos Sociais e Económicos (Moçambique),These ads ran without a disclaimer,≤100
1623731087898826,"Tudilu Eventos,Royal & Petroleum",These ads ran without a disclaimer,≤100
