Page ID,Page name,Disclaimer,Amount spent (HUF)
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,≤100
105774734948091,Hungarian Conservative,Hungarian Conservative,≤100
270741976461920,Farkas Éva Erzsébet,Farkas Éva Erzsébet Hivatalos Oldala,≤100
876772425797119,Hölvényi György,Hölvényi György,≤100
104286742048836,Zöld Minősítés,Fiatal Családosok Klubjának Egyesülete,≤100
519279158277826,Szülői Hang,Szülői Hang,≤100
451844608304228,Metropol,Metropol,≤100
110292211697859,Erdélyi Rezső Krisztián Nézőpontja,Nézőpont,≤100
112126508161382,Korsós Borbála Erzsébet - Momentum,Korsós Borbála Erzsébet,≤100
122159141138679,Magyar Helsinki Bizottság / Hungarian Helsinki Committee,Magyar Helsinki Bizottság / Hungarian Helsinki Committee,≤100
193640214178356,Gyopáros Alpár,Gyopáros Alpár,≤100
163316173773843,Modell és Valóság,Antall József Emlékbizottság és Baráti Társaság,≤100
108903048413219,A hajdú hagyományok nyomában,Hajdú-Bihar Megyei Önkormányzat,≤100
293410494975,Republikon Intézet,Republikon Alapítvány,≤100
408924035951553,Körforrás,Körforrás,≤100
106236922109249,Hajnal-2026,Gábor Radics,≤100
982282755308700,BNG,Böszörményi-Nagy Gergely,≤100
358867199892,"Farkas Sándor miniszterhelyettes, országgyűlési képviselő hivatalos oldala",Fidesz,≤100
183723231644096,Szita Károly,Szita Károly,≤100
164978926850719,Kommentár folyóirat,Kommentár folyóirat,≤100
104958058734636,Bekezdések,Nagy Áron,≤100
992066384198880,Tóth Edina,Tóth Edina,≤100
76748198685,Budapest Pride,Budapest Pride,≤100
132565735893,Policy Solutions,Dr. Bíró-Nagy András,≤100
320701218553533,Alternatíva Párt,Alternatíva párt,≤100
104120465115094,Schaller-Baross Ernő,Schaller-Baross Ernő,≤100
108365251471465,Dócs Dávid,Dócs Dávid,≤100
290353684405462,Mindenszo.hu,Mindenszo.hu,≤100
166359293376130,Hévíz Város Önkormányzata,Papp Gábor,≤100
348148758663062,Indahouse Hungary,InDaHouse Hungary Egyesület,≤100
222935035147780,moszkvater.com,moszkvater.com,≤100
197203437879379,Szaniszló Sándor,Szaniszló Sándor,≤100
162344823835042,atlatszo.hu,atlatszo.hu,≤100
202099276507678,24.hu,24.hu,≤100
105666454157523,Szikra Mozgalom,Szikra Mozgalom,≤100
112879632128020,Novák Előd,Mi Hazánk Mozgalom,≤100
451084968283411,Klímainnovációs Közösség,PANNON Pro Innovációs Kft.,≤100
1065713933504228,Új Egyenlőség,Új Egyenlőség,≤100
100197148614583,The &,& kiadó,≤100
14792493292,Magyar Kétfarkú Kutya Párt,Magyar Kétfarkú Kutya Párt,≤100
718197398317300,Bajusz Gábor,Bajusz Gábor,≤100
104173410954523,Oroján Sándor,Oroján Sándor,≤100
376436808069,Eventim - Ticket Express Hungary,TEX Hungary Kft.,≤100
100808557949454,Mucsi Tamás,Mucsi Tamás,≤100
264210363649459,Élő Norbert,Élő Norbert,≤100
332335697435625,Zsikó Zoltán,Zoltán Zsikó,≤100
101870191289046,Tiéd a Belváros,Kovács Alex Gábor,≤100
264517713636590,PestiSracok.hu,PestiSrácok.hu,≤100
116925790432558,Lehoczki Ádám,Lehoczki Àdám János,≤100
670269189782610,Ficsak - Fiatal Családosok Klubja,Fiatal Családosok Klubja,≤100
76945222898,Startlap,Central Médiacsoport Zrt.,≤100
