Page ID,Page name,Disclaimer,Amount spent (NGN)
102911942793356,Alhaji Ahmed Usman Ododo,Sebastian Momoh,≤100
113168594726138,Sen.Godswill Akpabio For Senate President,SKYHUB NIGERIA,≤100
971769479677563,Gbenga Olawepo-Hashim,Olushola Oni,≤100
101836915650800,Veritas MEDIA,THE POLITICO,≤100
103294869043052,Olaniyan Toni,Olaniyan Toni,≤100
103937487661032,Readytoleadafrica,ReadyToLeadAfrica,≤100
100202924924063,Page 36,Page 36,≤100
110115410861584,Gombe Geographic Information Systems,Gombe Geographic Information Systems,≤100
1813961455356524,Sen. Lawrence Ewhrudjakpo,Sen. Lawrence Ewhrudjakpo,≤100
611787215670446,The Mayor Rural Development Foundation,These ads ran without a disclaimer,≤100
