Page ID,Page name,Disclaimer,Amount spent (TND)
141662475911566,Instance Supérieure Indépendante pour les Élections - ISIE,Instance Supérieure Indépendante pour les Élections - ISIE,≤100
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100
562060647164742,IIDebate - International Institute of Debate,Rafik Akili,≤100
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100
194562360560959,Mada Center Qatar,These ads ran without a disclaimer,≤100
108995864960109,وصل صوتك      Porte-voix,These ads ran without a disclaimer,≤100
100477638805419,الراجل الي قهرهم,These ads ran without a disclaimer,≤100
112167498263549,ozlem.andiz,These ads ran without a disclaimer,≤100
111491464801745,Learn English with Riadh,These ads ran without a disclaimer,≤100
101416266129939,ياسين مامي - Yassine Mami,Hammamet Informatique Services,≤100
102675465987487,برهان الدين الزغلامي  Zoughlami Borhen Eddine,حلمي بن محمد دليقة,≤100
