Page ID,Page name,Disclaimer,Amount spent (HTG)
112204658447734,Ca Ro Le Hess,These ads ran without a disclaimer,≤100
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100
1486199311596755,عقارات باغی شقلاوە,These ads ran without a disclaimer,≤100
