Page ID,Page name,Disclaimer,Amount spent (NIO)
643513979193133,Unidos por Beatriz,Neuma,151
856012741442139,Ipas LAC,Neuma,151
112731733833728,Familias: Ahora,These ads ran without a disclaimer,≤100
30954968553,Smithsonian’s National Museum of the American Indian,These ads ran without a disclaimer,≤100
100487141876592,Monica Jaquez,These ads ran without a disclaimer,≤100
102783605860386,Taniya,These ads ran without a disclaimer,≤100
72750481109,Structuralia,These ads ran without a disclaimer,≤100
163612320390775,Pantaleon,These ads ran without a disclaimer,≤100
285530825204,Klitschko,These ads ran without a disclaimer,≤100
160720010711227,Panel Rey,These ads ran without a disclaimer,≤100
277122708999234,Casa McGregor,Carolina Nohemy Gutierrez Alvarado,≤100
100365208581323,Revolución Eñame,These ads ran without a disclaimer,≤100
1909154786072245,Verkada,These ads ran without a disclaimer,≤100
