Page ID,Page name,Disclaimer,Amount spent (QAR)
113106835150100,Jassim Alsharshani,Puzzle Marketing And Advertising,≤100
1246179392089770,Rooda Al_Qebaisi,These ads ran without a disclaimer,≤100
