Page ID,Page name,Disclaimer,Amount spent (UYU)
2229936167288652,Juan Sartori,Equipo Juan Sartori,≤100
860395507438977,Compromiso con el Cambio,Santiago Raffo Arias,≤100
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,≤100
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
107574220629167,Carolina Batista,Norma Valentina Pérez Nunez,≤100
106688362420120,Andrea Zumar,These ads ran without a disclaimer,≤100
2332750643467917,Yamandú Costa,José Manuel Gutiérrez Pereira Das Neves,≤100
106973842317140,Sophia Ribeiro,These ads ran without a disclaimer,≤100
1424003061235730,Asociación Autismo en Uruguay,Arlene Raquel Navarro Aguiar,≤100
