Page ID,Page name,Disclaimer,Amount spent (VND)
111267731617802,Lương Y Phạm Văn Thanh - Người Thầy Y Đức,These ads ran without a disclaimer,17009
109874745174543,Vàng Bạc Kim Ngọc Anh,These ads ran without a disclaimer,9994
107966888726987,Đất Nền Quận12 _Tp HCM,These ads ran without a disclaimer,8209
105845511087981,TRUYỀN HÌNH AN VIÊN,Truyền hình Bchannel - BTV9 An Viên,6760
113899670306066,Poljot Int VN,These ads ran without a disclaimer,2290
121005457662407,Ấn kích Vào Nhận Ngay Kết Quả Miền Nam Chuẩn,These ads ran without a disclaimer,2081
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,1420
100501456174615,Kho Tàng Sách Cổ Xưa,These ads ran without a disclaimer,741
108685817326606,Truther Piece Official,These ads ran without a disclaimer,527
100642569492416,Ng.Thị Thu Thảo,These ads ran without a disclaimer,248
1433703283355526,Tủ Sách Pháp Luật,These ads ran without a disclaimer,101
109789038504925,جمعیت اہلحدیث  پاکستان,These ads ran without a disclaimer,≤100
