Page ID,Page name,Disclaimer,Amount spent (UYU)
2229936167288652,Juan Sartori,Equipo Juan Sartori,304
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,≤100
860395507438977,Compromiso con el Cambio,Compromiso con el Cambio,≤100
225968600759645,Andrés Lima,Andrés Lima,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
308762172579887,Rodrigo Goñi Reyes,Rodrigo Goñi Reyes,≤100
100408874886094,Todo Montevideo,These ads ran without a disclaimer,≤100
260130691485088,Carlucho Moreno,Carlucho Moreno,≤100
530640683655093,President,These ads ran without a disclaimer,≤100
114770771583944,clinica.masajes,These ads ran without a disclaimer,≤100
116603861327799,alex_sa.c,These ads ran without a disclaimer,≤100
118998646608157,Para El Camino,These ads ran without a disclaimer,≤100
294017310722101,Senador Dupont,These ads ran without a disclaimer,≤100
107756041807121,oxfam_lac,These ads ran without a disclaimer,≤100
