Page ID,Page name,Disclaimer,Amount spent (ISK)
152804904889,Samfylkingin,Samfylkingin,6623
737169626371453,Heimildin,Stundin,926
607573825973006,LÍS - Landssamtök íslenskra stúdenta,Landssamtök Íslenskra Stúdenta,513
573559522797177,Flokkur fólksins,Flokkur Fólksins,326
154893001218870,ADHD samtökin,ADHD samtökin,166
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,155
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,140
114057194960942,Samstöðin: Fréttir,Samstöðin ehf,≤100
157073914303469,Stjórnarskrárfélagið -The Icelandic Constitution Society,Stjórnarskrárfélagið,≤100
1569688113329878,Evony - The King's Return,These ads ran without a disclaimer,≤100
