Page ID,Page name,Disclaimer,Amount spent (HNL)
1392592317738074,Jorge Cálix,Jorge Cálix,1379
703368406666619,Vox Populi HN,Vox Populi HN,507
114601521910,Jorge Aldana,Jorge  Aldana,253
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,143
104599735671754,Goberna Honduras,Goberna Honduras,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100
187581588077191,Juan Barahona,Andres Alfredo Castro Turcios,≤100
100172476278127,Easy Study,These ads ran without a disclaimer,≤100
1482174305394430,el pupitre de Pilu,These ads ran without a disclaimer,≤100
