Page ID,Page name,Disclaimer,Amount spent (AOA)
256341811443198,Iurisbook,José Paulo Maiandi,588
250305668489402,Professor Kenny,These ads ran without a disclaimer,345
103874242354782,Mayra Katarina Barck,These ads ran without a disclaimer,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
1652617388325233,Zdarova Natasha,These ads ran without a disclaimer,≤100
107390242331179,CryptoHaven,These ads ran without a disclaimer,≤100
474588795895313,Getafe C.F.,These ads ran without a disclaimer,≤100
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100
138072229696403,Instituto Minere,These ads ran without a disclaimer,≤100
237650313048963,China Admissions,These ads ran without a disclaimer,≤100
